QED,PERCENTILE,,
0.910 - 0.948,1,,
0.890 - 0.910,2,,
0.874 - 0.890,3,,
0.860 - 0.874,4,,
0.848 - 0.860,5,,
0.837 - 0.848,6,,
0.826 - 0.837,7,,
0.815 - 0.826,8,,
0.805 - 0.815,9,,
0.796 - 0.805,10,,
0.788 - 0.796,11,,
0.780 - 0.788,12,,
0.772 - 0.780,13,,
0.764 - 0.772,14,,
0.756 - 0.764,15,,
0.748 - 0.756,16,,
0.741 - 0.748,17,,
0.734 - 0.741,18,,
0.726 - 0.734,19,,
0.718 - 0.726,20,,
0.710 - 0.718,21,,
0.702 - 0.710,22,,
0.694 - 0.702,23,,
0.686 - 0.694,24,,
0.679 - 0.686,25,,
0.671 - 0.679,26,,
0.664 - 0.671,27,,
0.656 - 0.664,28,,
0.648 - 0.656,29,,
0.640 - 0.648,30,,
0.633 - 0.640,31,,
0.625 - 0.633,32,,
0.617 - 0.625,33,,
0.610 - 0.617,34,,
0.602 - 0.610,35,,
0.594 - 0.602,36,,
0.587 - 0.594,37,,
0.579 - 0.587,38,,
0.571 - 0.579,39,,
0.564 - 0.571,40,,
0.556 - 0.564,41,,
0.548 - 0.556,42,,
0.540 - 0.548,43,,
0.533 - 0.540,44,,
0.525 - 0.533,45,,
0.517 - 0.525,46,,
0.510 - 0.517,47,,
0.503 - 0.510,48,,
0.496 - 0.503,49,,
0.488 - 0.496,50,,
0.481 - 0.488,51,,
0.474 - 0.481,52,,
0.466 - 0.474,53,,
0.459 - 0.466,54,,
0.452 - 0.459,55,,
0.444 - 0.452,56,,
0.437 - 0.444,57,,
0.430 - 0.437,58,,
0.423 - 0.430,59,,
0.415 - 0.423,60,,
0.407 - 0.415,61,,
0.400 - 0.407,62,,
0.392 - 0.400,63,,
0.385 - 0.392,64,,
0.377 - 0.385,65,,
0.369 - 0.377,66,,
0.361 - 0.369,67,,
0.353 - 0.361,68,,
0.345 - 0.353,69,,
0.337 - 0.345,70,,
0.329 - 0.337,71,,
0.320 - 0.329,72,,
0.312 - 0.320,73,,
0.303 - 0.312,74,,
0.294 - 0.303,75,,
0.285 - 0.294,76,,
0.276 - 0.285,77,,
0.267 - 0.276,78,,
0.258 - 0.267,79,,
0.248 - 0.258,80,,
0.239 - 0.248,81,,
0.229 - 0.239,82,,
0.219 - 0.229,83,,
0.208 - 0.219,84,,
0.197 - 0.208,85,,
0.187 - 0.197,86,,
0.176 - 0.187,87,,
0.164 - 0.176,88,,
0.152 - 0.164,89,,
0.140 - 0.152,90,,
0.127 - 0.140,91,,
0.113 - 0.127,92,,
0.099 - 0.113,93,,
0.084 - 0.099,94,,
0.069 - 0.084,95,,
0.054 - 0.069,96,,
0.039 - 0.054,97,,
0.027 - 0.039,98,,
0.016 - 0.027,99,,
0.002 - 0.016,100,,
